trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
80,2025-07-17 02:00,197,"$3,476.87",74.21%,25.79%,48.4%,2025-07-18 02:00,"$3,529.02",TP,+1.50%,1,WIN
81,2025-07-19 02:00,199,"$3,592.01",80.17%,19.83%,60.3%,2025-07-20 02:00,"$3,645.89",TP,+1.50%,1,WIN
82,2025-07-21 02:00,201,"$3,762.33",83.93%,16.07%,67.9%,2025-07-22 02:00,"$3,734.11",SL,-0.75%,1,LOSS
83,2025-07-23 02:00,203,"$3,628.29",77.03%,22.97%,54.1%,2025-07-24 02:00,"$3,682.71",TP,+1.50%,1,WIN
84,2025-07-25 02:00,205,"$3,724.96",70.64%,29.36%,41.3%,2025-07-26 02:00,"$3,780.83",TP,+1.50%,1,WIN
85,2025-07-27 02:00,207,"$3,872.10",68.07%,31.93%,36.1%,2025-07-28 02:00,"$3,930.18",TP,+1.50%,1,WIN
86,2025-07-29 02:00,209,"$3,793.79",73.64%,26.36%,47.3%,2025-07-30 02:00,"$3,765.34",SL,-0.75%,1,LOSS
87,2025-07-31 02:00,211,"$3,698.39",74.82%,25.18%,49.6%,2025-08-01 02:00,"$3,670.65",SL,-0.75%,1,LOSS
88,2025-08-02 02:00,213,"$3,393.94",77.03%,22.97%,54.1%,2025-08-03 02:00,"$3,444.85",TP,+1.50%,1,WIN
89,2025-08-04 02:00,215,"$3,720.99",64.87%,35.13%,29.7%,2025-08-05 02:00,"$3,693.08",SL,-0.75%,1,LOSS
90,2025-08-06 02:00,217,"$3,683.31",59.78%,40.22%,19.6%,2025-08-07 02:00,"$3,738.56",TP,+1.50%,1,WIN
91,2025-08-08 02:00,219,"$4,009.50",73.23%,26.77%,46.5%,2025-08-09 02:00,"$4,069.64",TP,+1.50%,1,WIN
92,2025-08-10 02:00,221,"$4,250.57",68.30%,31.70%,36.6%,2025-08-11 02:00,"$4,314.33",TP,+1.50%,1,WIN
93,2025-08-12 02:00,223,"$4,590.52",71.61%,28.39%,43.2%,2025-08-13 02:00,"$4,659.38",TP,+1.50%,1,WIN
94,2025-08-14 02:00,225,"$4,546.84",82.06%,17.94%,64.1%,2025-08-15 02:00,"$4,615.04",TP,+1.50%,1,WIN
95,2025-08-16 02:00,227,"$4,421.99",70.56%,29.44%,41.1%,2025-08-17 02:00,"$4,488.32",TP,+1.50%,1,WIN
96,2025-08-18 02:00,229,"$4,312.99",74.94%,25.06%,49.9%,2025-08-19 02:00,"$4,280.64",SL,-0.75%,1,LOSS
97,2025-08-20 02:00,231,"$4,336.16",50.42%,49.58%,0.8%,2025-08-21 02:00,"$4,303.64",SL,-0.75%,1,LOSS
98,2025-08-22 02:00,233,"$4,832.07",75.35%,24.65%,50.7%,2025-08-23 02:00,"$4,795.83",SL,-0.75%,1,LOSS
99,2025-08-24 02:00,235,"$4,780.15",73.65%,26.35%,47.3%,2025-08-25 02:00,"$4,744.30",SL,-0.75%,1,LOSS
