trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
133,2026-02-25 01:00,420,$88.06,67.18%,32.82%,34.4%,2026-02-26 01:00,$87.40,SL,-0.75%,1,LOSS
134,2026-02-28 01:00,423,$84.35,59.10%,40.90%,18.2%,2026-03-01 01:00,$85.62,TP,+1.50%,1,WIN
135,2026-03-02 01:00,425,$86.64,68.16%,31.84%,36.3%,2026-03-03 01:00,$85.99,SL,-0.75%,1,LOSS
136,2026-03-04 01:00,427,$90.85,66.72%,33.28%,33.4%,2026-03-05 01:00,$92.21,TP,+1.50%,1,WIN
137,2026-03-06 01:00,429,$84.70,66.36%,33.64%,32.7%,2026-03-07 01:00,$84.06,SL,-0.75%,1,LOSS
138,2026-03-10 01:00,433,$85.88,58.42%,41.58%,16.8%,2026-03-11 01:00,$87.17,TP,+1.50%,1,WIN
139,2026-03-13 01:00,436,$88.18,62.82%,37.18%,25.6%,2026-03-14 01:00,$87.52,SL,-0.75%,1,LOSS
140,2026-03-15 01:00,438,$92.30,63.51%,36.49%,27.0%,2026-03-16 01:00,$93.68,TP,+1.50%,1,WIN
141,2026-03-17 01:00,440,$94.62,84.51%,15.49%,69.0%,2026-03-18 01:00,$93.91,SL,-0.75%,1,LOSS
142,2026-03-22 01:00,445,$86.20,53.98%,46.02%,8.0%,2026-03-23 01:00,$87.49,TP,+1.50%,1,WIN
